Pollutant,Evaluation_Points,MAE,RMSE
Sulphur Dioxide,79183,0.5306430348622044,0.9620107636775552
Respirable Suspended Particulates,79035,2.668585518777895,3.963237077096001
Fine Suspended Particulates,79541,1.9483222610846787,2.798465116775025
Nitrogen Oxides,74220,14.421070448188027,26.906493683426184
Nitrogen Dioxide,79098,5.679589516307226,8.538704618197047
Carbon Monoxide,43427,3.6212819787252952,6.004123813437512
Ozone,79612,5.549946719703039,8.563796022184066
